Id,y
10000,4935.594565220798
10001,5017.760184322309
10002,4998.826101539301
10003,5107.934335838726
10004,4888.471293924909
10005,4992.022959764227
10006,5043.951795272697
10007,5130.398479091802
10008,4901.271875213199
10009,5077.122721670712
10010,5014.084284185416
10011,4945.41983404112
10012,4960.755014432888
10013,5051.657936236391
10014,4781.66792163435
10015,5111.253644369169
10016,5016.391127879985
10017,4916.972816167623
10018,5067.123776302866
10019,4993.409669940649
10020,5068.205251432162
10021,5142.252231452219
10022,5030.594739671503
10023,5044.4340931505485
10024,5051.4160847597905
10025,4995.459813076139
10026,4953.462647532179
10027,4897.290467679174
10028,5169.716860299313
10029,5104.9867046688
10030,4973.525639599675
10031,5160.381364111467
10032,4975.506292986669
10033,5052.456117863535
10034,4962.12857079713
10035,5048.21254370054
10036,5137.114048613344
10037,5240.937233609156
10038,5064.253685196235
10039,5046.399111885671
10040,4966.8018673250735
10041,4769.468686810171
10042,4913.909515595711
10043,5073.663452375999
10044,5004.133690927863
10045,4840.8358924363665
10046,5213.676300575181
10047,4982.517082108705
10048,4856.9521034948975
10049,4906.589316622476
10050,4809.788797693342
10051,4995.163294495188
10052,4975.961414860327
10053,4885.655985156148
10054,5136.550439065549
10055,4929.066316822682
10056,4912.690843351338
10057,4987.986573899427
10058,5102.161826346597
10059,4929.700301962197
10060,5098.297501070763
10061,5009.527580533794
10062,5045.962253269703
10063,4910.845685522876
10064,5185.516047492984
10065,4902.557864295524
10066,5048.823865914532
10067,5108.667566421984
10068,5012.060007770418
10069,5117.267787903688
10070,4959.59876136158
10071,4992.5534073038725
10072,5230.512742247038
10073,4950.375660683802
10074,5046.803528517203
10075,4909.234172662471
10076,4981.882934598347
10077,4976.040942858911
10078,5091.832915316245
10079,5143.483023162499
10080,4940.595521287957
10081,5122.481170615116
10082,4911.841417083189
10083,5095.471204669316
10084,4862.75108688443
10085,4817.196969154063
10086,4924.954857700856
10087,4820.25481024719
10088,4989.922651857412
10089,5024.267247150865
10090,4959.989680563346
10091,5121.598834749107
10092,5116.233622293842
10093,5237.235966243007
10094,5228.8595822955995
10095,4894.37990117168
10096,5095.29659326917
10097,4978.797305967666
10098,4980.754329370364
10099,5121.069864801076
10100,5079.203447164802
10101,4867.271728295558
10102,5016.489474775583
10103,4979.86582088423
10104,4918.861793854036
10105,4975.892976322795
10106,5000.133278104802
10107,5012.592944836101
10108,5082.658026563872
10109,5003.405044461237
10110,5056.792546091886
10111,4820.521605710825
10112,4993.890136929789
10113,5096.459601808285
10114,4953.991190499104
10115,4898.937481143919
10116,5093.270786231854
10117,4920.728258611999
10118,5002.952208119721
10119,5009.743503376166
10120,5012.080641379475
10121,4933.520464978151
10122,5194.030392804202
10123,4833.639375029523
10124,5091.703190996656
10125,5043.842202693146
10126,5005.650843341994
10127,4890.811202704896
10128,4924.7875977175745
10129,4818.681139809819
10130,4973.3174924093255
10131,4941.41682783529
10132,4828.832119836925
10133,4874.724749080132
10134,5182.82903366283
10135,5178.9731657718185
10136,4976.563157067126
10137,5010.288508888144
10138,4994.778496140733
10139,5083.540966213166
10140,4793.751440098269
10141,4926.860473546999
10142,4996.52248876955
10143,4814.258103011685
10144,5179.768915105784
10145,4856.996922541594
10146,5030.9113097041945
10147,4954.543233600776
10148,5219.693437826745
10149,5016.627064198333
10150,4845.7216386185755
